YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,VAR_SP,VAR_CM
2008,6,Jun,19-24,496.73,PRIVATE,all,all,sales,month
2008,6,Jun,25-34,5600.11,NATIONAL,all,all,sales,month
2008,6,Jun,25-34,29079.86,PRIVATE,all,all,sales,month
2008,6,Jun,35-44,6474.69,NATIONAL,all,all,sales,month
2008,6,Jun,35-44,8357.77,PRIVATE,all,all,sales,month
2008,6,Jun,45-54,6361.57,NATIONAL,all,all,sales,month
2008,6,Jun,45-54,3373.56,PRIVATE,all,all,sales,month
2008,6,Jun,55-64,1319.45,NATIONAL,all,all,sales,month
2008,6,Jun,55-64,174.41,PRIVATE,all,all,sales,month
2008,6,Jun,65+,316.12,NATIONAL,all,all,sales,month
2008,6,Jun,65+,64.25,PRIVATE,all,all,sales,month
2008,7,Jul,19-24,1372.89,NATIONAL,all,all,sales,month
2008,7,Jul,19-24,374.71999999999997,PRIVATE,all,all,sales,month
2008,7,Jul,25-34,5674.39,NATIONAL,all,all,sales,month
2008,7,Jul,25-34,26021.13,PRIVATE,all,all,sales,month
2008,7,Jul,35-44,5982.43,NATIONAL,all,all,sales,month
2008,7,Jul,35-44,9179.24,PRIVATE,all,all,sales,month
2008,7,Jul,45-54,5662.4,NATIONAL,all,all,sales,month
2008,7,Jul,45-54,3538.05,PRIVATE,all,all,sales,month
2008,7,Jul,55-64,527.25,NATIONAL,all,all,sales,month
2008,7,Jul,55-64,124.98,PRIVATE,all,all,sales,month
2008,7,Jul,65+,347.55,NATIONAL,all,all,sales,month
2008,7,Jul,65+,58.29,PRIVATE,all,all,sales,month
2008,8,Aug,19-24,1607.28,NATIONAL,all,all,sales,month
2008,8,Aug,19-24,715.61,PRIVATE,all,all,sales,month
2008,8,Aug,25-34,6373.01,NATIONAL,all,all,sales,month
2008,8,Aug,25-34,33068.14,PRIVATE,all,all,sales,month
2008,8,Aug,35-44,7411.9,NATIONAL,all,all,sales,month
2008,8,Aug,35-44,10774.65,PRIVATE,all,all,sales,month
2008,8,Aug,45-54,8602.97,NATIONAL,all,all,sales,month
2008,8,Aug,45-54,4505.87,PRIVATE,all,all,sales,month
2008,8,Aug,55-64,1051.51,NATIONAL,all,all,sales,month
