CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2008,all,860.6400000000001,DRY FOOD,all,month,6,Jun,sales,2914.35
1,2008,all,1047.24,DRY FOOD,all,month,5,May,sales,1713.41
1,2008,all,780.79,DRY FOOD,all,month,11,Nov,sales,2014.3100000000002
1,2007,19-24,405.3,all,all,country,1,Netherlands,sales,1249.69
1,2007,19-24,156.1,all,all,country,1,Norway,sales,481.82
1,2007,19-24,257.92,all,all,country,1,Poland,sales,937.4300000000001
1,2008,19-24,966.01,all,all,country,1,Spain,sales,3933.19
1,2008,19-24,700.55,all,all,country,1,Portugal,sales,1700.55
1,2008,19-24,269.49,all,all,country,1,Poland,sales,1044.49
1,2008,19-24,205.41,all,all,country,1,Norway,sales,782.9300000000001
1,2008,19-24,409.37,all,all,country,1,Netherlands,sales,1145.6100000000001
1,2008,19-24,27.8,all,all,country,1,Luxembourg,sales,131.25
1,2008,19-24,619.58,all,all,country,1,Lithuania,sales,2257.34
1,2008,19-24,115.89,all,all,country,1,Greece,sales,722.11
1,2008,19-24,501.74,all,all,country,1,Germany,sales,1855.76
1,2008,19-24,474.55,all,all,country,1,France,sales,1614.96
1,2008,19-24,293.31,all,all,country,1,Bulgaria,sales,915.32
1,2008,19-24,632.92,all,all,country,1,Belgium,sales,1738.94
1,2007,19-24,500.95,all,all,country,1,Sweden,sales,1651.7
1,2007,19-24,731.48,all,all,country,1,Spain,sales,3050.36
1,2007,19-24,593.03,all,all,country,1,Portugal,sales,1284.3600000000001
1,2008,all,1128.8899999999999,DRY FOOD,all,month,4,Apr,sales,2578.2400000000002
1,2007,all,1047.1499999999999,all,all,country,1,Belgium,sales,2278.84
1,2008,all,1082.21,DRY FOOD,all,month,3,Mar,sales,1074.58
1,2008,all,768.85,DRY FOOD,all,month,1,Jan,sales,1713.56
1,2008,19-24,572.78,DRY FOOD,all,month,5,May,sales,1556.64
1,2008,19-24,684.81,DRY FOOD,all,month,4,Apr,sales,2491.2400000000002
1,2008,19-24,590.86,DRY FOOD,all,month,3,Mar,sales,936.58
1,2008,19-24,651.92,DRY FOOD,all,month,2,Feb,sales,1916.77
1,2008,19-24,391.92,DRY FOOD,all,month,1,Jan,sales,1602.56
1,2007,19-24,355.49,DRY FOOD,all,month,12,Dec,sales,1670.52
1,2008,19-24,496.73,DRY FOOD,all,month,6,Jun,sales,2844.35
1,2007,19-24,525.59,DRY FOOD,all,month,11,Nov,sales,2044.57
1,2007,19-24,334.99,DRY FOOD,all,month,9,Sep,sales,1117.51
1,2007,19-24,350.02,DRY FOOD,all,month,8,Aug,sales,2073.62
1,2007,19-24,521.74,DRY FOOD,all,month,7,Jul,sales,1632.02
1,2007,19-24,642.54,DRY FOOD,all,month,6,Jun,sales,920.96
1,2007,19-24,712.36,DRY FOOD,all,month,5,May,sales,1322.13
1,2007,19-24,521.6800000000001,DRY FOOD,all,month,4,Apr,sales,2066.64
1,2007,19-24,310.11,DRY FOOD,all,month,10,Oct,sales,1183.13
1,2008,19-24,374.71999999999997,DRY FOOD,all,month,7,Jul,sales,1117.89
1,2008,19-24,715.61,DRY FOOD,all,month,8,Aug,sales,1275.78
1,2008,19-24,356.55,DRY FOOD,all,month,9,Sep,sales,1072.03
1,2007,all,685.77,DRY FOOD,all,month,12,Dec,sales,1748.66
1,2007,all,881.25,DRY FOOD,all,month,11,Nov,sales,2151.5499999999997
1,2007,all,628.9300000000001,DRY FOOD,all,month,10,Oct,sales,1287.44
1,2007,all,605.52,DRY FOOD,all,month,9,Sep,sales,1219.51
1,2007,all,658.77,DRY FOOD,all,month,8,Aug,sales,2150.19
1,2007,all,839.58,DRY FOOD,all,month,7,Jul,sales,1748.24
1,2007,all,1050.94,DRY FOOD,all,month,6,Jun,sales,1051.38
1,2007,all,1196.3,DRY FOOD,all,month,5,May,sales,1495.6000000000001
1,2007,all,878.58,DRY FOOD,all,month,4,Apr,sales,2153.06
1,2007,all,609.59,DRY FOOD,all,month,3,Mar,sales,1230.74
1,2007,all,389.23,DRY FOOD,all,month,2,Feb,sales,717.37
1,2007,all,128.56,DRY FOOD,all,month,1,Jan,sales,148.81
1,2008,19-24,147.35,DRY FOOD,all,month,12,Dec,sales,658.3100000000001
1,2008,19-24,421.37,DRY FOOD,all,month,11,Nov,sales,1880.15
1,2008,19-24,346.67,DRY FOOD,all,month,10,Oct,sales,2053.58
1,2008,all,1116.08,DRY FOOD,all,month,2,Feb,sales,2064.54
1,2007,all,389.23,all,all,month,2,Feb,sales,805.83
1,2007,19-24,618.36,all,all,month,6,Jun,profit,886.15
1,2007,19-24,336.32,all,all,month,8,Aug,profit,1992.85
1,2007,19-24,247.91,DRY FOOD,GROCERY,country,1,Poland,profit,900.96
1,2007,19-24,149.99,DRY FOOD,GROCERY,country,1,Norway,profit,463.13
1,2007,19-24,389.53,DRY FOOD,GROCERY,country,1,Netherlands,profit,1201.1299999999999
1,2007,19-24,50.47,DRY FOOD,GROCERY,country,1,Luxembourg,profit,180.78
1,2007,19-24,450.86,DRY FOOD,GROCERY,country,1,Lithuania,profit,1649.3999999999999
