YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,VAR_SP,VAR_CM
2008,7,Jul,all,32680.25,profit,month
2008,8,Aug,all,42263.64,profit,month
2008,9,Sep,all,33902.29,profit,month
2008,10,Oct,all,37232.659999999996,profit,month
2008,11,Nov,all,46661.520000000004,profit,month
2008,12,Dec,all,15498.36,profit,month
2007,1,Belgium,19-24,2564.73,sales,country
2007,1,Belgium,25-34,48698.79,sales,country
2007,1,Belgium,35-44,18787.52,sales,country
2007,1,Belgium,45-54,12934.74,sales,country
2007,1,Belgium,55-64,1445.58,sales,country
2007,1,Belgium,65+,561.6,sales,country
2007,1,Bulgaria,19-24,504.02,sales,country
2007,1,Bulgaria,25-34,11467.75,sales,country
2007,1,Bulgaria,35-44,3896.59,sales,country
2007,1,Bulgaria,45-54,3261.79,sales,country
2007,1,Bulgaria,55-64,124.98,sales,country
2007,1,Bulgaria,65+,122.69,sales,country
2007,1,France,19-24,2048.08,sales,country
2007,1,France,25-34,21383.33,sales,country
2007,1,France,35-44,14365.58,sales,country
2007,1,France,45-54,9447.17,sales,country
2007,1,France,55-64,1161.74,sales,country
2007,1,France,65+,288.0,sales,country
2007,1,Germany,19-24,2322.71,sales,country
2007,1,Germany,25-34,33191.55,sales,country
2007,1,Germany,35-44,19246.52,sales,country
2007,1,Germany,45-54,12192.83,sales,country
2007,1,Germany,55-64,1079.28,sales,country
2007,1,Germany,65+,585.74,sales,country
2007,1,Greece,19-24,571.74,sales,country
2007,1,Greece,25-34,4044.86,sales,country
2007,1,Greece,35-44,3196.16,sales,country
2007,1,Greece,45-54,2452.95,sales,country
2007,1,Greece,55-64,129.38,sales,country
2007,1,Greece,65+,78.81,sales,country
2007,1,Lithuania,19-24,2557.98,sales,country
2007,1,Lithuania,25-34,40472.88,sales,country
2007,1,Lithuania,35-44,16988.03,sales,country
2007,1,Lithuania,45-54,10493.79,sales,country
2007,1,Lithuania,55-64,1250.33,sales,country
2007,1,Lithuania,65+,394.39,sales,country
2007,1,Luxembourg,19-24,249.81,sales,country
2007,1,Luxembourg,25-34,1615.13,sales,country
2007,1,Luxembourg,35-44,1535.82,sales,country
2007,1,Luxembourg,45-54,1039.34,sales,country
2007,1,Luxembourg,55-64,69.57,sales,country
2007,1,Luxembourg,65+,22.77,sales,country
2007,1,Netherlands,19-24,1788.3700000000001,sales,country
2007,1,Netherlands,25-34,33950.97,sales,country
2007,1,Netherlands,35-44,10842.27,sales,country
2007,1,Netherlands,45-54,7235.57,sales,country
2007,1,Netherlands,55-64,595.2,sales,country
2007,1,Netherlands,65+,310.27,sales,country
2007,1,Norway,19-24,718.63,sales,country
2007,1,Norway,25-34,9955.43,sales,country
2007,1,Norway,35-44,5014.58,sales,country
2007,1,Norway,45-54,2909.14,sales,country
2007,1,Norway,55-64,323.94,sales,country
2007,1,Norway,65+,270.62,sales,country
2007,1,Poland,19-24,1339.07,sales,country
2007,1,Poland,25-34,12906.05,sales,country
2007,1,Poland,35-44,9099.89,sales,country
2007,1,Poland,45-54,6028.44,sales,country
2007,1,Poland,55-64,502.96,sales,country
2007,1,Poland,65+,213.69,sales,country
2007,1,Portugal,19-24,2116.08,sales,country
2007,1,Portugal,25-34,42253.06,sales,country
2007,1,Portugal,35-44,17235.95,sales,country
2007,1,Portugal,45-54,9511.82,sales,country
2007,1,Portugal,55-64,876.1,sales,country
2007,1,Portugal,65+,459.71,sales,country
2007,1,Spain,19-24,4126.02,sales,country
2007,1,Spain,25-34,45883.14,sales,country
2007,1,Spain,35-44,21539.59,sales,country
2007,1,Spain,45-54,14506.83,sales,country
2007,1,Spain,55-64,1586.19,sales,country
2007,1,Spain,65+,477.11,sales,country
2007,1,Sweden,19-24,2378.82,sales,country
2007,1,Sweden,25-34,19533.6,sales,country
2007,1,Sweden,35-44,11931.65,sales,country
2007,1,Sweden,45-54,7468.01,sales,country
2007,1,Sweden,55-64,942.3100000000001,sales,country
2007,1,Sweden,65+,377.61,sales,country
2008,1,Belgium,19-24,2546.52,sales,country
2008,1,Belgium,25-34,56874.61,sales,country
2008,1,Belgium,35-44,20780.62,sales,country
2008,1,Belgium,45-54,14381.39,sales,country
2008,1,Belgium,55-64,1459.15,sales,country
2008,1,Belgium,65+,548.35,sales,country
2008,1,Bulgaria,19-24,1344.75,sales,country
2008,1,Bulgaria,25-34,40963.09,sales,country
2008,1,Bulgaria,35-44,11233.27,sales,country
2008,1,Bulgaria,45-54,7878.9800000000005,sales,country
2008,1,Bulgaria,55-64,474.08,sales,country
2008,1,Bulgaria,65+,358.19,sales,country
2008,1,France,19-24,2529.3,sales,country
2008,1,France,25-34,26434.58,sales,country
2008,1,France,35-44,16952.01,sales,country
2008,1,France,45-54,12289.33,sales,country
2008,1,France,55-64,1542.14,sales,country
2008,1,France,65+,410.58,sales,country
2008,1,Germany,19-24,2696.94,sales,country
2008,1,Germany,25-34,43312.53,sales,country
2008,1,Germany,35-44,21726.0,sales,country
2008,1,Germany,45-54,14377.49,sales,country
2008,1,Germany,55-64,1036.24,sales,country
2008,1,Germany,65+,506.61,sales,country
2008,1,Greece,19-24,989.16,sales,country
2008,1,Greece,25-34,5419.61,sales,country
