YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,PRODUCT_DESC,VAR_SP,VAR_CM
2008,3,Mar,19-24,75.8,PRIVATE,all,all,all,sales,month
2008,3,Mar,25-34,1846.76,NATIONAL,all,all,all,sales,month
2008,3,Mar,25-34,17464.27,PRIVATE,all,all,all,sales,month
2008,3,Mar,35-44,1224.78,NATIONAL,all,all,all,sales,month
2008,3,Mar,35-44,2011.01,PRIVATE,all,all,all,sales,month
2008,3,Mar,45-54,1787.65,NATIONAL,all,all,all,sales,month
2008,3,Mar,45-54,340.72,PRIVATE,all,all,all,sales,month
2008,3,Mar,55-64,846.63,NATIONAL,all,all,all,sales,month
2008,3,Mar,55-64,13.16,PRIVATE,all,all,all,sales,month
2008,3,Mar,65+,333.56,NATIONAL,all,all,all,sales,month
2008,3,Mar,65+,24.13,PRIVATE,all,all,all,sales,month
2008,4,Apr,19-24,222.22,NATIONAL,all,all,all,sales,month
2008,4,Apr,19-24,106.82,PRIVATE,all,all,all,sales,month
2008,4,Apr,25-34,1760.53,NATIONAL,all,all,all,sales,month
2008,4,Apr,25-34,18419.33,PRIVATE,all,all,all,sales,month
2008,4,Apr,35-44,1223.14,NATIONAL,all,all,all,sales,month
2008,4,Apr,35-44,1961.49,PRIVATE,all,all,all,sales,month
2008,4,Apr,45-54,1821.04,NATIONAL,all,all,all,sales,month
2008,4,Apr,45-54,284.29,PRIVATE,all,all,all,sales,month
2008,4,Apr,55-64,805.84,NATIONAL,all,all,all,sales,month
2008,4,Apr,55-64,24.35,PRIVATE,all,all,all,sales,month
2008,4,Apr,65+,327.25,NATIONAL,all,all,all,sales,month
2008,4,Apr,65+,15.93,PRIVATE,all,all,all,sales,month
2008,5,May,19-24,263.35,NATIONAL,all,all,all,sales,month
2008,5,May,19-24,52.36,PRIVATE,all,all,all,sales,month
2008,5,May,25-34,1920.61,NATIONAL,all,all,all,sales,month
2008,5,May,25-34,24106.76,PRIVATE,all,all,all,sales,month
2008,5,May,35-44,1155.6,NATIONAL,all,all,all,sales,month
2008,5,May,35-44,2234.61,PRIVATE,all,all,all,sales,month
2008,5,May,45-54,2517.77,NATIONAL,all,all,all,sales,month
2008,5,May,45-54,428.18,PRIVATE,all,all,all,sales,month
2008,5,May,55-64,871.88,NATIONAL,all,all,all,sales,month
2008,5,May,55-64,10.36,PRIVATE,all,all,all,sales,month
2008,5,May,65+,287.86,NATIONAL,all,all,all,sales,month
2008,5,May,65+,20.59,PRIVATE,all,all,all,sales,month
2008,6,Jun,19-24,393.77,NATIONAL,all,all,all,sales,month
2008,6,Jun,19-24,57.29,PRIVATE,all,all,all,sales,month
2008,6,Jun,25-34,1759.8,NATIONAL,all,all,all,sales,month
