WEEK_NO,CLASS,SUB_CLASS,PRODUCT_DESC,YEAR,QUARTERS,DEPARTMENT,QUANTITY,DISCOUNT_YN,VAR_GRP
28,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,7.0,0,Q
29,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,3.0,0,Q
30,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,3.0,0,Q
31,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,6.0,0,Q
32,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,9.0,0,Q
33,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,3.0,0,Q
34,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,19.0,1,Q
35,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,21.0,1,Q
36,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,16.0,1,Q
37,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,26.0,1,Q
38,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,33.0,1,Q
39,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,3,FRESH FOOD,23.0,1,Q
40,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,23.0,1,Q
41,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,26.0,1,Q
42,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,3.0,0,Q
43,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,11.0,0,Q
44,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,11.0,0,Q
45,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,6.0,0,Q
46,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,18.0,1,Q
47,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,17.0,1,Q
48,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,24.0,1,Q
49,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,19.0,1,Q
50,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,3.0,0,Q
51,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,6.0,0,Q
52,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2007,4,FRESH FOOD,6.0,0,Q
53,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,6.0,0,Q
54,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,6.0,0,Q
55,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,6.0,0,Q
56,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,6.0,0,Q
57,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,7.0,0,Q
58,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,15.0,1,Q
59,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,17.0,1,Q
60,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,26.0,1,Q
61,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,19.0,1,Q
62,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,3.0,0,Q
63,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,6.0,0,Q
64,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,6.0,0,Q
65,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,1,FRESH FOOD,3.0,0,Q
66,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,20.0,1,Q
67,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,21.0,1,Q
68,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,16.0,1,Q
69,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,18.0,1,Q
70,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,10.0,0,Q
71,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,3.0,0,Q
72,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,3.0,0,Q
73,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,6.0,0,Q
74,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,11.0,1,Q
75,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,12.0,1,Q
76,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,9.0,1,Q
77,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,13.0,1,Q
78,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,2,FRESH FOOD,3.0,0,Q
79,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,3.0,0,Q
80,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,7.0,0,Q
81,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,3.0,0,Q
82,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,10.0,1,Q
83,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT),2008,3,FRESH FOOD,11.0,1,Q
