DEPARTMENT,CUSTOMER_AGE_GROUP,VALUE_2007,BRAND,ORDER_BY,X_AXIS,VAR_CM,VAR_SP,VALUE_2008
FRESH FOOD,45-54,447,PRIVATE,10,Oct,month,sales,396.0
FRESH FOOD,45-54,484,PRIVATE,11,Nov,month,sales,510.0
FRESH FOOD,45-54,375,PRIVATE,12,Dec,month,sales,173.0
FRESH FOOD,55-64,85,NATIONAL,1,Jan,month,sales,801.0
FRESH FOOD,55-64,387,NATIONAL,2,Feb,month,sales,877.0
FRESH FOOD,55-64,669,NATIONAL,3,Mar,month,sales,987.0
FRESH FOOD,55-64,678,NATIONAL,4,Apr,month,sales,876.0
FRESH FOOD,55-64,816,NATIONAL,5,May,month,sales,1015.0
FRESH FOOD,55-64,844,NATIONAL,6,Jun,month,sales,1319.0
FRESH FOOD,55-64,550,NATIONAL,7,Jul,month,sales,527.0
FRESH FOOD,55-64,481,NATIONAL,8,Aug,month,sales,1052.0
